congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
110,h2105,,0.5657230959495274,111,h1206,
110,h2106,,0.963942529618841,111,h1206,
110,h1496,,0.8500986752327974,111,h1207,
110,h459,Passed,0.6717985914027798,111,h1207,
110,h1655,,0.8182411918796556,111,h1208,
110,h1714,,0.6808258157189296,111,h1208,
110,h1905,,0.8484219392992635,111,h1208,
110,h2105,,0.572116580889472,111,h1208,
110,h3439,,0.6278581546345309,111,h1208,
110,h3508,,0.5045121767860054,111,h1208,
110,h4173,,0.6875058653212468,111,h1208,
110,h4179,,0.5984210625705453,111,h1208,
110,h4317,,0.6623240214140061,111,h1208,
110,h3818,,0.5374506761633039,111,h1209,
110,h497,Passed,0.550662575178784,111,h1209,
110,h5840,,0.5026855434167029,111,h1209,
110,h6571,,0.5190865956480964,111,h1209,
110,h1298,,0.5407422538952402,111,h1211,
110,h1318,,0.5402185193117983,111,h1211,
110,h1854,,0.5817801530840646,111,h1211,
110,h240,Passed,0.5274706575415165,111,h1211,
110,h3723,,0.6857761442273315,111,h1211,
110,h6372,,0.5419487290187406,111,h1211,
110,h6527,,0.6462394907140492,111,h1211,
110,h6563,,0.507743186701193,111,h1211,
110,h809,Failed,0.7330054433410264,111,h1211,
110,h814,Failed,0.5344726247284092,111,h1211,
110,h837,Passed,0.6384275950509538,111,h1211,
110,h933,Passed,0.9815613963593464,111,h1215,
110,h3247,,0.9348853348853604,111,h1216,
110,h3246,,0.9243622151165344,111,h1217,
110,h3248,,0.9326933570377823,111,h1218,
110,h311,Passed,0.505412527871934,111,h122,Passed
110,h6051,,0.5307994850073977,111,h1220,
110,h2797,,0.9931568068623308,111,h1221,
110,h3863,,0.5040179753424278,111,h1222,
110,h4045,,0.7520677526383722,111,h1222,
110,h1918,,0.5033226688570333,111,h1224,
110,h2226,,0.5043779635900608,111,h1224,
110,h2272,,0.6128218071000647,111,h1224,
110,h2379,,0.9916867260196284,111,h1224,
110,h305,Failed,0.9392001927078824,111,h1227,
110,h1307,,0.8356063285237119,111,h1228,
110,h1164,Passed,0.9526307641826317,111,h1229,
110,h997,Passed,0.6924329885639988,111,h1229,
110,h640,Passed,0.9676229927813949,111,h1230,
110,h6395,,0.5581698557207987,111,h1231,
110,h1318,,0.9000082155990237,111,h1232,
110,h837,Passed,0.7440082656620414,111,h1232,
110,h1099,Passed,0.817741629524325,111,h1233,
110,h1724,,0.9706919582265279,111,h1236,
